date,description,amount,currency,month,day,category
2024-01-02,AMAZON MARKETPLACE,-45.99,EUR,1,2,Shopping
2024-01-03,SALARY PAYMENT,3500.0,EUR,1,3,Income
2024-01-05,CARREFOUR SUPERMARKET,-62.3,EUR,1,5,Groceries
2024-01-07,NETFLIX SUBSCRIPTION,-15.99,EUR,1,7,Subscriptions
2024-01-08,UBER TRIP,-12.5,EUR,1,8,Transport
2024-01-10,ELECTRICITY BILL,-89.0,EUR,1,10,Bills
2024-01-12,AMAZON MARKETPLACE,-23.49,EUR,1,12,Shopping
2024-01-15,RESTAURANT LE PETIT,-38.0,EUR,1,15,Dining
2024-01-17,GYM MEMBERSHIP,-30.0,EUR,1,17,Health
2024-01-20,FREELANCE PAYMENT,850.0,EUR,1,20,Income
2024-01-22,CARREFOUR SUPERMARKET,-55.1,EUR,1,22,Groceries
2024-01-24,SPOTIFY,-9.99,EUR,1,24,Subscriptions
2024-01-25,UBER TRIP,-8.75,EUR,1,25,Transport
2024-01-27,PHARMACY,-14.2,EUR,1,27,Health
2024-01-30,INTERNET BILL,-39.99,EUR,1,30,Bills
